external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/0iVrCROxeyon7MZUW3MfzT'},"{'href': None, 'total': 858661}","['contemporary r&b', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/0iVrCROxeyon7MZUW3MfzT,0iVrCROxeyon7MZUW3MfzT,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4c3f0acc0e5ef5b08e54bbb9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744c3f0acc0e5ef5b08e54bbb9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784c3f0acc0e5ef5b08e54bbb9', 'width': 160}]",Montell Jordan,55,artist,spotify:artist:0iVrCROxeyon7MZUW3MfzT
{'spotify': 'https://open.spotify.com/artist/6lHL3ubAMgSasKjNqKb8HF'},"{'href': None, 'total': 1388993}","['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/6lHL3ubAMgSasKjNqKb8HF,6lHL3ubAMgSasKjNqKb8HF,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebae4ef104746d1362a7c1df32', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ae4ef104746d1362a7c1df32', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ae4ef104746d1362a7c1df32', 'width': 160}]",Mýa,59,artist,spotify:artist:6lHL3ubAMgSasKjNqKb8HF
{'spotify': 'https://open.spotify.com/artist/3LIJJJkO7R5RasRwt7xIn5'},"{'href': None, 'total': 710556}","['crunk', 'dirty south rap', 'gangster rap', 'new orleans rap']",https://api.spotify.com/v1/artists/3LIJJJkO7R5RasRwt7xIn5,3LIJJJkO7R5RasRwt7xIn5,"[{'height': 200, 'url': 'https://i.scdn.co/image/99443414f1603cb47d783e1974148f3cb1de6f62', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/a03415b05bcd9bcc0922a1e35a0e76638a96cdc8', 'width': 64}]",Mystikal,53,artist,spotify:artist:3LIJJJkO7R5RasRwt7xIn5
{'spotify': 'https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ'},"{'href': None, 'total': 9522552}","['dance pop', 'pop', 'urban contemporary']",https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb21b66418f7f3b86967f85bce', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517421b66418f7f3b86967f85bce', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17821b66418f7f3b86967f85bce', 'width': 160}]",Mariah Carey,80,artist,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
{'spotify': 'https://open.spotify.com/artist/0DR4z5jMA1eqx0CmHBUpkr'},"{'href': None, 'total': 354061}","['classic schlager', 'oktoberfest', 'schlager']",https://api.spotify.com/v1/artists/0DR4z5jMA1eqx0CmHBUpkr,0DR4z5jMA1eqx0CmHBUpkr,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4914286a51bd951a97a17752', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744914286a51bd951a97a17752', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784914286a51bd951a97a17752', 'width': 160}]",DJ Ötzi,55,artist,spotify:artist:0DR4z5jMA1eqx0CmHBUpkr
{'spotify': 'https://open.spotify.com/artist/1VbWUxZTRNY2gw3qZ1tg9W'},"{'href': None, 'total': 1108679}","['celtic rock', 'europop', 'pop rock']",https://api.spotify.com/v1/artists/1VbWUxZTRNY2gw3qZ1tg9W,1VbWUxZTRNY2gw3qZ1tg9W,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb599f5b4f1ea78db47fbead4e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174599f5b4f1ea78db47fbead4e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178599f5b4f1ea78db47fbead4e', 'width': 160}]",The Corrs,60,artist,spotify:artist:1VbWUxZTRNY2gw3qZ1tg9W
{'spotify': 'https://open.spotify.com/artist/5Z1CCuBsyhEHngq3U5IraY'},"{'href': None, 'total': 3972333}",['boy band'],https://api.spotify.com/v1/artists/5Z1CCuBsyhEHngq3U5IraY,5Z1CCuBsyhEHngq3U5IraY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebceead049d538f0b5087041dd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ceead049d538f0b5087041dd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ceead049d538f0b5087041dd', 'width': 160}]",Westlife,67,artist,spotify:artist:5Z1CCuBsyhEHngq3U5IraY
{'spotify': 'https://open.spotify.com/artist/2MGT7CYlixSPxAnnkhLpaA'},"{'href': None, 'total': 1168975}","['boy band', 'contemporary r&b', 'minneapolis sound', 'new jack swing', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/2MGT7CYlixSPxAnnkhLpaA,2MGT7CYlixSPxAnnkhLpaA,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb58f9f8c32588c5bfe4388b8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b58f9f8c32588c5bfe4388b8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b58f9f8c32588c5bfe4388b8', 'width': 160}]",Next,53,artist,spotify:artist:2MGT7CYlixSPxAnnkhLpaA
{'spotify': 'https://open.spotify.com/artist/6xeFne1rkxMhKSW3ipvkdV'},"{'href': None, 'total': 83756}",['british alternative rock'],https://api.spotify.com/v1/artists/6xeFne1rkxMhKSW3ipvkdV,6xeFne1rkxMhKSW3ipvkdV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb21a50649eca85229bfd21c82', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517421a50649eca85229bfd21c82', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17821a50649eca85229bfd21c82', 'width': 160}]",Toploader,60,artist,spotify:artist:6xeFne1rkxMhKSW3ipvkdV
{'spotify': 'https://open.spotify.com/artist/7liFhc0PDIx8etigqd2WhW'},"{'href': None, 'total': 321927}","['contemporary r&b', 'r&b']",https://api.spotify.com/v1/artists/7liFhc0PDIx8etigqd2WhW,7liFhc0PDIx8etigqd2WhW,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf1a74e4163145910832fd338', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f1a74e4163145910832fd338', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f1a74e4163145910832fd338', 'width': 160}]",Ruff Endz,41,artist,spotify:artist:7liFhc0PDIx8etigqd2WhW
