id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732aa20611c7fb964a74ab01a6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022aa20611c7fb964a74ab01a6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512aa20611c7fb964a74ab01a6', 'width': 64}]",2020-08-07T08:16:37Z,2000-05-16,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,26dSoYclwsYLMAKD3tpOr4,81,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,audio_features,spotify:track:6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/tracks/6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/audio-analysis/6naxalmIoLFWR0siv8dnQQ,211160,4
2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026da502e35a7a3e48de2b0f74', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516da502e35a7a3e48de2b0f74', 'width': 64}]",2020-08-07T08:16:37Z,1999-06-01,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,6FBDaR13swtiWwGhX1WQsP,84,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,audio_features,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067,4
3y4LxiYMgDl4RethdzpmNe,Breathe,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f4adbbdcd39b09e5f0b9e03e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f4adbbdcd39b09e5f0b9e03e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f4adbbdcd39b09e5f0b9e03e', 'width': 64}]",2020-08-07T08:16:37Z,1999-11-09,https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe,25NQNriVT2YbSW80ILRWJa,68,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,audio_features,spotify:track:3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547,4
0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737a231174875d7930de9dad58', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027a231174875d7930de9dad58', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517a231174875d7930de9dad58', 'width': 64}]",2020-08-07T08:16:37Z,2000-01-01,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,58lV9VcRSjABbAbfWS6skp,82,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,audio_features,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a6cb8fab778e1efc406a5909', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a6cb8fab778e1efc406a5909', 'width': 64}]",2020-08-07T08:16:37Z,2000-03-21,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,6Ff53KvcvAj5U7Z1vojB5o,74,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4
5Mmk2ii6laakqfeCT7OnVD,Thong Song,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273227393028d2b83ced8e74d9b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02227393028d2b83ced8e74d9b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851227393028d2b83ced8e74d9b', 'width': 64}]",2020-08-07T08:16:37Z,1999-11-30,https://open.spotify.com/track/5Mmk2ii6laakqfeCT7OnVD,6x9QLdzo6eBZxJ1bHsDkjg,72,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,audio_features,spotify:track:5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/tracks/5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/audio-analysis/5Mmk2ii6laakqfeCT7OnVD,253733,4
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02dbb3dd82da45b7d7f31b1b42', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851dbb3dd82da45b7d7f31b1b42', 'width': 64}]",2020-08-07T08:16:37Z,2000-05-23,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,7dGJo4pcD2V6oG8kP0tJRR,88,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,audio_features,spotify:track:3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,284200,4
7oQSevUCbYs4QawXTHQVV1,Rock DJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27352653086ce6e1d2919efa534', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0252653086ce6e1d2919efa534', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485152653086ce6e1d2919efa534', 'width': 64}]",2020-08-07T08:16:37Z,2013-01-01,https://open.spotify.com/track/7oQSevUCbYs4QawXTHQVV1,2HcwFjNelS49kFbfvMxQYw,59,0.712,0.762,7,-4.307,1,0.0326,0.026,0.0,0.0981,0.842,103.032,audio_features,spotify:track:7oQSevUCbYs4QawXTHQVV1,https://api.spotify.com/v1/tracks/7oQSevUCbYs4QawXTHQVV1,https://api.spotify.com/v1/audio-analysis/7oQSevUCbYs4QawXTHQVV1,260560,4
7H6ev70Weq6DdpZyyTmUXk,Say My Name,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023718df75b57340c1947747e8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513718df75b57340c1947747e8', 'width': 64}]",2020-08-07T08:16:37Z,1999-07-27,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk,1Y8cdNmUJH7yBTd9yOvr5i,80,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,audio_features,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,271333,4
3AJwUDP919kvQ9QcozQPxg,Yellow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023d92b2ad5af9fbc8637425f0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513d92b2ad5af9fbc8637425f0', 'width': 64}]",2020-08-07T08:16:37Z,2000-07-10,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,92,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
